IP Range,Country,Region,City,Postal Code
40.99.144.128/25,NL,,AMSTERDAM,
40.99.145.0/27,NL,,AMSTERDAM,
40.99.145.64/27,NL,,AMSTERDAM,
40.99.145.128/25,NL,,AMSTERDAM,
40.99.148.128/28,NL,,AMSTERDAM,
40.99.148.176/28,NL,,AMSTERDAM,
40.99.149.192/28,NL,,AMSTERDAM,
40.99.149.240/28,NL,,AMSTERDAM,
40.99.150.192/28,NL,,AMSTERDAM,
40.99.151.192/27,NL,,AMSTERDAM,
40.99.153.176/28,NL,,AMSTERDAM,
40.99.154.0/27,NL,,AMSTERDAM,
40.99.155.64/26,NL,,AMSTERDAM,
40.99.157.160/28,NL,,AMSTERDAM,
40.99.158.96/27,NL,,AMSTERDAM,
40.99.159.0/24,NL,,AMSTERDAM,
40.99.192.0/26,NL,,AMSTERDAM,
40.99.192.64/28,NL,,AMSTERDAM,
40.99.192.96/27,NL,,AMSTERDAM,
40.99.193.0/25,NL,,AMSTERDAM,
40.99.193.160/27,NL,,AMSTERDAM,
40.99.193.224/27,NL,,AMSTERDAM,
40.99.194.0/25,NL,,AMSTERDAM,
40.99.195.0/25,NL,,AMSTERDAM,
40.99.200.16/28,NL,,AMSTERDAM,
40.99.200.32/27,NL,,AMSTERDAM,
40.99.200.64/27,NL,,AMSTERDAM,
40.99.200.128/25,NL,,AMSTERDAM,
40.99.202.128/27,NL,,AMSTERDAM,
40.99.202.208/28,NL,,AMSTERDAM,
40.99.202.224/27,NL,,AMSTERDAM,
40.99.204.0/24,NL,,AMSTERDAM,
40.99.205.0/26,NL,,AMSTERDAM,
40.99.206.0/25,NL,,AMSTERDAM,
40.99.206.128/27,NL,,AMSTERDAM,
40.99.206.224/27,NL,,AMSTERDAM,
40.99.208.0/24,NL,,AMSTERDAM,
40.99.209.0/27,NL,,AMSTERDAM,
40.99.221.192/26,NL,,AMSTERDAM,
40.99.222.0/25,NL,,AMSTERDAM,
40.99.222.128/27,NL,,AMSTERDAM,
40.99.222.224/27,NL,,AMSTERDAM,
40.101.2.192/26,NL,,AMSTERDAM,
40.101.3.0/25,NL,,AMSTERDAM,
40.101.8.0/21,NL,,AMSTERDAM,
40.101.16.0/22,NL,,AMSTERDAM,
40.101.20.64/26,NL,,AMSTERDAM,
40.101.20.128/25,NL,,AMSTERDAM,
40.101.60.0/22,NL,,AMSTERDAM,
40.101.80.0/22,NL,,AMSTERDAM,
40.101.88.0/22,NL,,AMSTERDAM,
40.101.104.0/22,NL,,AMSTERDAM,
40.101.120.0/22,NL,,AMSTERDAM,
40.101.124.0/24,NL,,AMSTERDAM,
40.103.0.0/28,NL,,AMSTERDAM,
40.103.0.64/28,NL,,AMSTERDAM,
40.103.0.128/28,NL,,AMSTERDAM,
40.103.0.192/28,NL,,AMSTERDAM,
40.103.1.0/28,NL,,AMSTERDAM,
40.103.1.64/28,NL,,AMSTERDAM,
40.103.1.128/28,NL,,AMSTERDAM,
40.103.1.192/28,NL,,AMSTERDAM,
40.103.5.192/28,NL,,AMSTERDAM,
40.103.6.0/28,NL,,AMSTERDAM,
40.103.6.64/28,NL,,AMSTERDAM,
40.103.6.128/28,NL,,AMSTERDAM,
40.103.6.192/28,NL,,AMSTERDAM,
40.103.12.176/28,NL,,AMSTERDAM,
40.103.12.240/28,NL,,AMSTERDAM,
40.103.13.48/28,NL,,AMSTERDAM,
40.103.13.240/28,NL,,AMSTERDAM,
40.103.14.48/28,NL,,AMSTERDAM,
40.103.14.112/28,NL,,AMSTERDAM,
40.103.22.0/28,NL,,AMSTERDAM,
40.103.22.64/28,NL,,AMSTERDAM,
40.103.22.128/28,NL,,AMSTERDAM,
40.103.22.192/28,NL,,AMSTERDAM,
